Stock,Sector,Industry
GIII,Consumer Goods,Textile - Apparel Clothing
TSEM,Technology,Semiconductor - Integrated Circuits
MDC,Industrial Goods,Residential Construction
QLD,Financial,Exchange Traded Fund
SYK,Healthcare,Medical Appliances &amp; Equipment
ATW,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
ECL,Consumer Goods,Cleaning Products
TRUE,Technology,Internet Service Providers
ZBRA,Industrial Goods,Diversified Machinery
TD,Financial,Money Center Banks
JAZZ,Healthcare,Biotechnology
SNY,Healthcare,Drug Manufacturers - Major
NCT,Financial,REIT - Diversified
WYN,Services,Lodging
ANFI,Consumer Goods,Food - Major Diversified
ANGI,Technology,Internet Software &amp; Services
ZFGN,Healthcare,Biotechnology
MACK,Healthcare,Biotechnology
OZM,Financial,Asset Management
CSTE,Industrial Goods,General Building Materials
GGAL,Financial,Foreign Regional Banks
FNV,Basic Materials,Gold
CUDA,Technology,Communication Equipment
JO,Financial,Exchange Traded Fund
YINN,Financial,Exchange Traded Fund
SONC,Services,Restaurants
VNDA,Healthcare,Biotechnology
SBAC,Technology,Diversified Communication Services
CLB,Basic Materials,Oil &amp; Gas Equipment &amp; Services
MHK,Consumer Goods,Home Furnishings &amp; Fixtures
HIBB,Services,Sporting Goods Stores
VA,Services,Regional Airlines
GBX,Services,Railroads
COLM,Consumer Goods,Textile - Apparel Clothing
CFG,Financial,Regional - Mid-Atlantic Banks
PCG,Utilities,Electric Utilities
PNK,Services,Resorts &amp; Casinos
HOV,Industrial Goods,Residential Construction
ATI,Industrial Goods,Metal Fabrication
VHC,Technology,Internet Software &amp; Services
SCSS,Consumer Goods,Home Furnishings &amp; Fixtures
WNR,Basic Materials,Oil &amp; Gas Refining &amp; Marketing
DOV,Industrial Goods,Diversified Machinery
PKG,Consumer Goods,Packaging &amp; Containers
STMP,Technology,Application Software
BIG,Services,Discount
IBKR,Financial,Investment Brokerage - National
VGK,Financial,Exchange Traded Fund
AMKR,Technology,Semiconductor - Integrated Circuits
BERY,Consumer Goods,Packaging &amp; Containers
EQIX,Technology,Internet Software &amp; Services
PNR,Industrial Goods,Industrial Equipment &amp; Components
PAYC,Technology,Application Software
PWE,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
DAR,Industrial Goods,Waste Management
HW,Industrial Goods,General Building Materials
BGCP,Financial,Investment Brokerage - National
PRAA,Services,Business Services
TRGP,Basic Materials,Oil &amp; Gas Pipelines
TTPH,Healthcare,Drugs - Generic
IRBT,Consumer Goods,Appliances
MEMP,Basic Materials,Independent Oil &amp; Gas
BITA,Technology,Internet Information Providers
MGA,Services,Auto Parts Wholesale
PZZA,Services,Specialty Eateries
CPHD,Technology,Scientific &amp; Technical Instruments
DPM,Basic Materials,Oil &amp; Gas Pipelines
HOS,Basic Materials,Oil &amp; Gas Equipment &amp; Services
FDC,Services,Business Services
EDU,Services,Education &amp; Training Services
PBF,Basic Materials,Oil &amp; Gas Refining &amp; Marketing
DHT,Services,Shipping
NVS,Healthcare,Drug Manufacturers - Major
TTM,Consumer Goods,Auto Manufacturers - Major
CFX,Industrial Goods,Diversified Machinery
SWIR,Technology,Communication Equipment
DLPH,Consumer Goods,Auto Parts
APO,Financial,Diversified Investments
AXL,Consumer Goods,Auto Parts
MX,Technology,Semiconductor - Specialized
DPLO,Healthcare,Drugs - Generic
ISIL,Technology,Semiconductor - Broad Line
SC,Financial,Mortgage Investment
ARMK,Services,Specialty Eateries
PE,Basic Materials,Independent Oil &amp; Gas
PLCE,Services,Apparel Stores
NCLH,Services,Resorts &amp; Casinos
NHTC,Consumer Goods,Personal Products
IDRA,Healthcare,Biotechnology
TWOU,Technology,Application Software
CSTM,Industrial Goods,Metal Fabrication
LNC,Financial,Life Insurance
SDOW,Financial,Exchange Traded Fund
GEL,Basic Materials,Oil &amp; Gas Pipelines
FIG,Financial,Asset Management
SN,Basic Materials,Independent Oil &amp; Gas
CBG,Financial,Property Management
DGX,Healthcare,Medical Laboratories &amp; Research
CBRL,Services,Restaurants
BC,Consumer Goods,Recreational Goods
SIX,Services,General Entertainment
CLMT,Basic Materials,Oil &amp; Gas Refining &amp; Marketing
MCO,Services,Business Services
WWE,Services,Entertainment - Diversified
OKS,Basic Materials,Oil &amp; Gas Pipelines
SHOP,Technology,Application Software
RLGY,Financial,Property Management
CAKE,Services,Restaurants
GWW,Services,Industrial Equipment Wholesale
CHAU,Financial,Exchange Traded Fund
HRL,Consumer Goods,Meat Products
UNXL,Technology,Diversified Electronics
IR,Industrial Goods,Diversified Machinery
OREX,Healthcare,Drug Manufacturers - Other
AMPE,Healthcare,Biotechnology
FXC,Financial,Exchange Traded Fund
IPG,Services,Advertising Agencies
VMEM,Technology,Data Storage Devices
WPRT,Consumer Goods,Auto Parts
EDC,Financial,Exchange Traded Fund
TTS,Services,Home Improvement Stores
CSU,Healthcare,Long-Term Care Facilities
BCRX,Healthcare,Biotechnology
RGR,Industrial Goods,Aerospace/Defense Products &amp; Services
RNG,Technology,Application Software
ESPR,Healthcare,Biotechnology
TCS,Services,Specialty Retail
DPS,Consumer Goods,Beverages - Soft Drinks
MYGN,Services,Research Services
PEIX,Basic Materials,Oil &amp; Gas Refining &amp; Marketing
SGEN,Healthcare,Biotechnology
GPOR,Basic Materials,Independent Oil &amp; Gas
WAC,Financial,Mortgage Investment
FMI,Healthcare,Medical Laboratories &amp; Research
MVIS,Technology,Diversified Electronics
TROW,Financial,Asset Management
ICE,Financial,Diversified Investments
IRM,Technology,Business Software &amp; Services
ITC,Utilities,Electric Utilities
TM,Consumer Goods,Auto Manufacturers - Major
ASPS,Services,Business Services
KN,Technology,Communication Equipment
PRTA,Healthcare,Biotechnology
MTOR,Consumer Goods,Auto Parts
ADPT,Healthcare,Hospitals
LPLA,Financial,Investment Brokerage - National
RCII,Services,Rental &amp; Leasing Services
FCEL,Utilities,Diversified Utilities
LXRX,Healthcare,Biotechnology
UNT,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
BLOX,Technology,Communication Equipment
ALB,Basic Materials,Specialty Chemicals
CNI,Services,Railroads
GIL,Consumer Goods,Textile - Apparel Clothing
JOE,Financial,Real Estate Development
SAP,Technology,Application Software
BLMN,Services,Restaurants
AGI,Basic Materials,Gold
CTAS,Services,Business Services
GDDY,Technology,Internet Software &amp; Services
STLD,Basic Materials,Steel &amp; Iron
TPX,Consumer Goods,Home Furnishings &amp; Fixtures
CPA,Services,Regional Airlines
AGIO,Healthcare,Biotechnology
HDB,Financial,Foreign Regional Banks
ABY,Utilities,Electric Utilities
BCOR,Technology,Internet Information Providers
GPC,Services,Specialty Retail
AGEN,Healthcare,Biotechnology
ARAY,Healthcare,Medical Appliances &amp; Equipment
MTH,Industrial Goods,Residential Construction
ONVO,Healthcare,Medical Laboratories &amp; Research
STO,Basic Materials,Major Integrated Oil &amp; Gas
AVB,Financial,REIT - Residential
EQR,Financial,REIT - Residential
NNN,Financial,REIT - Diversified
SPNC,Healthcare,Medical Appliances &amp; Equipment
FISV,Services,Business Services
R,Services,Rental &amp; Leasing Services
HAR,Consumer Goods,Electronic Equipment
SXL,Basic Materials,Oil &amp; Gas Pipelines
EXP,Industrial Goods,Cement
LEA,Consumer Goods,Auto Parts
COTY,Consumer Goods,Personal Products
DBC,Financial,Exchange Traded Fund
TROV,Healthcare,Medical Laboratories &amp; Research
WRK,Consumer Goods,Packaging &amp; Containers
CPRT,Services,Auto Dealerships
GPN,Services,Business Services
IGT,Services,Gaming Activities
CRR,Basic Materials,Oil &amp; Gas Equipment &amp; Services
ECR,Basic Materials,Independent Oil &amp; Gas
QVCA,Services,Catalog &amp; Mail Order Houses
AHS,Healthcare,Specialized Health Services
PSA,Financial,REIT - Industrial
TAHO,Basic Materials,Industrial Metals &amp; Minerals
NVDQ,Healthcare,Medical Laboratories &amp; Research
ALKS,Healthcare,Drug Delivery
FTI,Basic Materials,Oil &amp; Gas Equipment &amp; Services
NVO,Healthcare,Drug Manufacturers - Other
NKTR,Healthcare,Biotechnology
ERIC,Technology,Communication Equipment
MEOH,Basic Materials,Specialty Chemicals
NSR,Technology,Diversified Communication Services
STJ,Healthcare,Medical Appliances &amp; Equipment
DIG,Financial,Exchange Traded Fund
SYT,Basic Materials,Agricultural Chemicals
TUP,Consumer Goods,Packaging &amp; Containers
SFLY,Services,Personal Services
IMPV,Technology,Application Software
YANG,Financial,Exchange Traded Fund
ABMD,Healthcare,Medical Appliances &amp; Equipment
KMT,Industrial Goods,Machine Tools &amp; Accessories
PRLB,Industrial Goods,Machine Tools &amp; Accessories
ITCI,Healthcare,Biotechnology
BPL,Basic Materials,Oil &amp; Gas Pipelines
SHPG,Healthcare,Drug Manufacturers - Major
DSX,Services,Shipping
SRE,Utilities,Diversified Utilities
ADTN,Technology,Communication Equipment
WLB,Basic Materials,Nonmetallic Mineral Mining
FLO,Consumer Goods,Processed &amp; Packaged Goods
AOS,Industrial Goods,Industrial Electrical Equipment
AXTA,Basic Materials,Specialty Chemicals
KND,Healthcare,Long-Term Care Facilities
MTB,Financial,Regional - Northeast Banks
RRGB,Services,Restaurants
SFL,Services,Shipping
EDZ,Financial,Exchange Traded Fund
LLL,Industrial Goods,Aerospace/Defense Products &amp; Services
SMLP,Basic Materials,Oil &amp; Gas Pipelines
NVRO,Healthcare,Medical Appliances &amp; Equipment
TWM,Financial,Exchange Traded Fund
WBAI,Services,Gaming Activities
CDW,Technology,Information Technology Services
MDXG,Healthcare,Medical Appliances &amp; Equipment
FNSR,Technology,Networking &amp; Communication Devices
SAND,Basic Materials,Gold
EQT,Basic Materials,Independent Oil &amp; Gas
SM,Basic Materials,Independent Oil &amp; Gas
TV,Services,Broadcasting - TV
ULE,Financial,Exchange Traded Fund
DVA,Healthcare,Specialized Health Services
OIS,Basic Materials,Oil &amp; Gas Equipment &amp; Services
HRS,Technology,Communication Equipment
STNG,Services,Shipping
CRI,Consumer Goods,Textile - Apparel Clothing
SSW,Services,Shipping
GFI,Basic Materials,Gold
OSK,Consumer Goods,Trucks &amp; Other Vehicles
JASO,Technology,Semiconductor - Specialized
JIVE,Technology,Application Software
OMC,Services,Advertising Agencies
VTI,Financial,Exchange Traded Fund
CLH,Industrial Goods,Waste Management
GASL,Financial,Exchange Traded Fund
LH,Healthcare,Medical Laboratories &amp; Research
VIAV,Technology,Communication Equipment
BUFF,Consumer Goods,Food - Major Diversified
CYTK,Healthcare,Biotechnology
SONS,Technology,Communication Equipment
DV,Services,Education &amp; Training Services
FOX,Services,Entertainment - Diversified
EPC,Consumer Goods,Personal Products
SALE,Services,Marketing Services
ALGN,Healthcare,Medical Appliances &amp; Equipment
SPR,Industrial Goods,Aerospace/Defense Products &amp; Services
AM,Basic Materials,Oil &amp; Gas Pipelines
CECO,Services,Education &amp; Training Services
IMOS,Technology,Semiconductor Equipment &amp; Materials
OA,Industrial Goods,Aerospace/Defense Products &amp; Services
GLPI,Financial,REIT - Diversified
WGO,Consumer Goods,Recreational Vehicles
AAOI,Technology,Semiconductor - Integrated Circuits
ORIG,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
NXST,Services,Broadcasting - TV
SIMO,Technology,Diversified Electronics
BMO,Financial,Money Center Banks
HPT,Financial,REIT - Retail
TREE,Financial,Mortgage Investment
JDST,Financial,Exchange Traded Fund
NEON,Technology,Diversified Electronics
CSOD,Technology,Application Software
MAN,Services,Staffing &amp; Outsourcing Services
OI,Consumer Goods,Packaging &amp; Containers
SLM,Financial,Credit Services
EEFT,Services,Business Services
CAMP,Technology,Wireless Communications
RYAM,Basic Materials,Chemicals - Major Diversified
ABB,Industrial Goods,Diversified Machinery
ERF,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
TRXC,Healthcare,Medical Instruments &amp; Supplies
AN,Services,Auto Dealerships
ARII,Services,Railroads
CE,Basic Materials,Chemicals - Major Diversified
CHAD,Financial,Exchange Traded Fund
WRLD,Financial,Credit Services
AERI,Healthcare,Drug Manufacturers - Major
AYI,Technology,Diversified Electronics
WIFI,Technology,Diversified Communication Services
ZBH,Healthcare,Medical Appliances &amp; Equipment
VNO,Financial,REIT - Diversified
BLDR,Industrial Goods,General Building Materials
TRQ,Basic Materials,Industrial Metals &amp; Minerals
CYTR,Healthcare,Biotechnology
ERII,Industrial Goods,Pollution &amp; Treatment Controls
ARLP,Basic Materials,Industrial Metals &amp; Minerals
KBE,Financial,Exchange Traded Fund
TK,Services,Shipping
BLCM,Healthcare,Biotechnology
FXA,Financial,Exchange Traded Fund
HACK,Financial,Exchange Traded Fund
CALL,Technology,Telecom Services - Domestic
CTB,Consumer Goods,Rubber &amp; Plastics
LGIH,Financial,Real Estate Development
SOHU,Technology,Internet Information Providers
ST,Technology,Scientific &amp; Technical Instruments
SMCI,Technology,Networking &amp; Communication Devices
GLOG,Services,Shipping
SPH,Utilities,Gas Utilities
WBMD,Technology,Healthcare Information Services
IPGP,Technology,Semiconductor Equipment &amp; Materials
NDAQ,Financial,Diversified Investments
SCHN,Basic Materials,Steel &amp; Iron
TRMB,Technology,Scientific &amp; Technical Instruments
RGEN,Healthcare,Biotechnology
BPOP,Financial,Foreign Regional Banks
ENS,Industrial Goods,Industrial Electrical Equipment
PDLI,Healthcare,Biotechnology
JBHT,Services,Trucking
TIVO,Services,CATV Systems
ARRS,Technology,Communication Equipment
NTGR,Technology,Communication Equipment
SJM,Consumer Goods,Processed &amp; Packaged Goods
TRP,Basic Materials,Oil &amp; Gas Pipelines
XL,Financial,Property &amp; Casualty Insurance
GPK,Consumer Goods,Packaging &amp; Containers
SHLX,Basic Materials,Oil &amp; Gas Pipelines
SID,Basic Materials,Steel &amp; Iron
UHS,Healthcare,Hospitals
SUN,Basic Materials,Oil &amp; Gas Refining &amp; Marketing
AIRM,Services,Air Services
UTEK,Technology,Semiconductor Equipment &amp; Materials
AMID,Basic Materials,Oil &amp; Gas Pipelines
CLNY,Financial,REIT - Diversified
GGB,Basic Materials,Steel &amp; Iron
CEQP,Basic Materials,Oil &amp; Gas Pipelines
KLIC,Technology,Semiconductor Equipment &amp; Materials
VRA,Consumer Goods,Textile - Apparel Footwear &amp; Accessories
OHRP,Healthcare,Biotechnology
PFPT,Technology,Application Software
MIK,Services,Specialty Retail
CUR,Healthcare,Biotechnology
FLS,Industrial Goods,Diversified Machinery
MYCC,Services,Sporting Activities
ECPG,Financial,Asset Management
VSH,Technology,Semiconductor - Broad Line
ZLTQ,Healthcare,Medical Appliances &amp; Equipment
EYES,Healthcare,Medical Appliances &amp; Equipment
FXH,Financial,Exchange Traded Fund
MDRX,Technology,Application Software
PDCE,Basic Materials,Independent Oil &amp; Gas
PGH,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
UN,Consumer Goods,Personal Products
CDNS,Technology,Application Software
STKL,Consumer Goods,Processed &amp; Packaged Goods
LOGM,Technology,Application Software
OMER,Healthcare,Biotechnology
EWP,Financial,Exchange Traded Fund
MDCO,Healthcare,Drugs - Generic
SAFM,Consumer Goods,Food - Major Diversified
JAKK,Consumer Goods,Toys &amp; Games
STAR,Financial,REIT - Diversified
GSVC,Financial,Closed-End Fund - Equity
VAR,Healthcare,Medical Appliances &amp; Equipment
COO,Healthcare,Medical Instruments &amp; Supplies
DF,Consumer Goods,Dairy Products
TGNA,Services,Broadcasting - TV
HDS,Services,Industrial Equipment Wholesale
GTY,Financial,REIT - Retail
FGP,Basic Materials,Oil &amp; Gas Refining &amp; Marketing
MXL,Technology,Semiconductor - Integrated Circuits
NOG,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
CLD,Basic Materials,Industrial Metals &amp; Minerals
EQM,Basic Materials,Oil &amp; Gas Pipelines
FXP,Financial,Exchange Traded Fund
AMSC,Industrial Goods,Industrial Electrical Equipment
DBD,Technology,Diversified Computer Systems
FRGI,Services,Restaurants
LABU,Financial,Exchange Traded Fund
WAB,Services,Railroads
FRAN,Services,Apparel Stores
GNTX,Consumer Goods,Auto Parts
DBA,Financial,Exchange Traded Fund
ING,Financial,Life Insurance
JEC,Services,Technical Services
PF,Consumer Goods,Food - Major Diversified
RMP,Basic Materials,Oil &amp; Gas Pipelines
LSCC,Technology,Semiconductor - Specialized
ANY,Technology,Application Software
OHI,Financial,REIT - Healthcare Facilities
ZEN,Technology,Application Software
AL,Services,Rental &amp; Leasing Services
AXDX,Healthcare,Medical Laboratories &amp; Research
GTLS,Industrial Goods,Metal Fabrication
LAD,Services,Auto Dealerships
BPT,Basic Materials,Oil &amp; Gas Refining &amp; Marketing
EEP,Basic Materials,Oil &amp; Gas Pipelines
ACTG,Services,Business Services
BNS,Financial,Money Center Banks
GWR,Services,Railroads
NTRI,Services,Personal Services
SBH,Services,Specialty Retail
IPI,Basic Materials,Agricultural Chemicals
KS,Consumer Goods,Paper &amp; Paper Products
YCS,Financial,Exchange Traded Fund
KBR,Services,Technical Services
FLT,Services,Business Services
MUB,Financial,Exchange Traded Fund
PBCT,Financial,Savings &amp; Loans
BVN,Basic Materials,Industrial Metals &amp; Minerals
CMPR,Services,Business Services
SRS,Financial,Exchange Traded Fund
TEP,Basic Materials,Oil &amp; Gas Pipelines
TSS,Financial,Credit Services
IAU,Financial,Exchange Traded Fund
ACHC,Healthcare,Specialized Health Services
CACC,Financial,Credit Services
KOLD,Financial,Exchange Traded Fund
CIM,Financial,REIT - Diversified
PBI,Consumer Goods,Business Equipment
GSM,Basic Materials,Industrial Metals &amp; Minerals
CEO,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
ENVA,Financial,Credit Services
IEP,Conglomerates,Conglomerates
PFG,Financial,Life Insurance
TGP,Services,Shipping
TIME,Services,Publishing - Periodicals
FCG,Financial,Exchange Traded Fund
BCE,Technology,Telecom Services - Domestic
DNOW,Basic Materials,Oil &amp; Gas Equipment &amp; Services
KPTI,Healthcare,Drugs - Generic
MTZ,Industrial Goods,Heavy Construction
ETR,Utilities,Electric Utilities
HLX,Basic Materials,Oil &amp; Gas Equipment &amp; Services
LJPC,Healthcare,Biotechnology
MTN,Services,Resorts &amp; Casinos
RGLS,Healthcare,Biotechnology
SCMP,Healthcare,Drug Manufacturers - Other
ANIP,Healthcare,Biotechnology
AVT,Services,Electronics Wholesale
MIDD,Industrial Goods,Diversified Machinery
SRCL,Industrial Goods,Waste Management
APH,Technology,Diversified Electronics
USL,Financial,Exchange Traded Fund
AZUR,Basic Materials,Oil &amp; Gas Pipelines
KEM,Technology,Diversified Electronics
MXWL,Technology,Diversified Electronics
NRZ,Financial,REIT - Residential
SKYW,Services,Regional Airlines
ACOR,Healthcare,Biotechnology
CRTO,Technology,Internet Information Providers
ABG,Services,Auto Dealerships
BXP,Financial,REIT - Office
EAT,Services,Restaurants
